"","ID","round","home_team_name","away_team_name","home_team_score","away_team_score","date","home_team_id","away_team_id","home_team_points","away_team_points"
"1",2,1,"Atletico-GO","Flamengo",1,1,2022-04-09,3,12,1,1
"2",6,1,"Atletico-MG","Internacional",2,0,2022-04-10,4,16,3,0
"3",8,1,"Avai","America-MG",1,0,2022-04-10,5,1,3,0
"4",5,1,"Botafogo-RJ","Corinthians",1,3,2022-04-10,6,9,0,3
"5",4,1,"Coritiba","Goias",3,0,2022-04-10,10,15,3,0
"6",1,1,"Fluminense","Santos",0,0,2022-04-09,13,19,1,1
"7",7,1,"Fortaleza","Cuiaba",0,1,2022-04-10,14,11,0,3
"8",10,1,"Juventude","Bragantino",2,2,2022-04-11,17,7,1,1
"9",3,1,"Palmeiras","Ceara",2,3,2022-04-09,18,8,0,3
"10",9,1,"Sao Paulo","Athletico-PR",4,0,2022-04-10,20,2,3,0
"11",12,2,"America-MG","Juventude",4,1,2022-04-16,1,17,3,0
"12",17,2,"Athletico-PR","Atletico-MG",0,1,2022-04-17,2,4,0,3
"13",19,2,"Bragantino","Atletico-GO",4,0,2022-04-17,7,3,3,0
"14",20,2,"Ceara","Botafogo-RJ",1,3,2022-04-17,8,6,0,3
"15",13,2,"Corinthians","Avai",3,0,2022-04-16,9,5,3,0
"16",14,2,"Cuiaba","Fluminense",0,1,2022-04-16,11,13,0,3
"17",16,2,"Flamengo","Sao Paulo",3,1,2022-04-17,12,20,3,0
"18",11,2,"Goias","Palmeiras",1,1,2022-04-16,15,18,1,1
"19",18,2,"Internacional","Fortaleza",2,1,2022-04-17,16,14,3,0
"20",15,2,"Santos","Coritiba",2,1,2022-04-17,19,10,3,0
"21",23,3,"Athletico-PR","Flamengo",1,0,2022-04-23,2,12,3,0
"22",29,3,"Atletico-GO","Botafogo-RJ",1,1,2022-04-24,3,6,1,1
"23",26,3,"Atletico-MG","Coritiba",2,2,2022-04-23,4,10,1,1
"24",30,3,"Avai","Goias",3,2,2022-04-25,5,15,3,0
"25",22,3,"Bragantino","Sao Paulo",1,1,2022-04-23,7,20,1,1
"26",25,3,"Fluminense","Internacional",0,1,2022-04-23,13,16,0,3
"27",80,3,"Fortaleza","Ceara",0,1,2022-06-01,14,8,0,3
"28",28,3,"Juventude","Cuiaba",0,1,2022-04-24,17,11,0,3
"29",24,3,"Palmeiras","Corinthians",3,0,2022-04-23,18,9,3,0
"30",27,3,"Santos","America-MG",3,0,2022-04-24,19,1,3,0
"31",32,4,"America-MG","Athletico-PR",1,0,2022-04-30,1,2,3,0
"32",35,4,"Botafogo-RJ","Juventude",1,1,2022-05-01,6,17,1,1
"33",31,4,"Ceara","Bragantino",0,1,2022-04-30,8,7,0,3
"34",36,4,"Corinthians","Fortaleza",1,0,2022-05-01,9,14,3,0
"35",37,4,"Coritiba","Fluminense",3,2,2022-05-01,10,13,3,0
"36",34,4,"Cuiaba","Atletico-GO",1,1,2022-04-30,11,3,1,1
"37",21,4,"Flamengo","Palmeiras",0,0,2022-04-20,12,18,1,1
"38",33,4,"Goias","Atletico-MG",2,2,2022-04-30,15,4,1,1
"39",38,4,"Internacional","Avai",0,0,2022-05-01,16,5,1,1
"40",39,4,"Sao Paulo","Santos",2,1,2022-05-02,20,19,3,0
"41",41,5,"Athletico-PR","Ceara",1,0,2022-05-07,2,8,3,0
"42",44,5,"Atletico-GO","Goias",0,1,2022-05-08,3,15,0,3
"43",40,5,"Atletico-MG","America-MG",1,2,2022-05-07,4,1,0,3
"44",49,5,"Avai","Coritiba",2,1,2022-05-09,5,10,3,0
"45",45,5,"Bragantino","Corinthians",0,1,2022-05-08,7,9,0,3
"46",42,5,"Flamengo","Botafogo-RJ",0,1,2022-05-08,12,6,0,3
"47",48,5,"Fortaleza","Sao Paulo",1,1,2022-05-08,14,20,1,1
"48",47,5,"Juventude","Internacional",1,1,2022-05-08,17,16,1,1
"49",43,5,"Palmeiras","Fluminense",1,1,2022-05-08,18,13,1,1
"50",46,5,"Santos","Cuiaba",4,1,2022-05-08,19,11,3,0
"51",54,6,"Atletico-MG","Atletico-GO",2,0,2022-05-14,4,3,3,0
"52",59,6,"Avai","Juventude",1,2,2022-05-15,5,17,0,3
"53",58,6,"Botafogo-RJ","Fortaleza",3,1,2022-05-15,6,14,3,0
"54",52,6,"Ceara","Flamengo",2,2,2022-05-14,8,12,1,1
"55",57,6,"Coritiba","America-MG",1,0,2022-05-15,10,1,3,0
"56",55,6,"Fluminense","Athletico-PR",2,1,2022-05-14,13,2,3,0
"57",60,6,"Goias","Santos",1,0,2022-05-15,15,19,3,0
"58",53,6,"Internacional","Corinthians",2,2,2022-05-14,16,9,1,1
"59",51,6,"Palmeiras","Bragantino",2,0,2022-05-14,18,7,3,0
"60",56,6,"Sao Paulo","Cuiaba",2,1,2022-05-15,20,11,3,0
"61",66,7,"America-MG","Botafogo-RJ",1,1,2022-05-21,1,6,1,1
"62",69,7,"Athletico-PR","Avai",2,1,2022-05-22,2,5,3,0
"63",61,7,"Atletico-GO","Coritiba",2,0,2022-05-21,3,10,3,0
"64",50,7,"Bragantino","Atletico-MG",1,1,2022-05-11,7,4,1,1
"65",67,7,"Corinthians","Sao Paulo",1,1,2022-05-22,9,20,1,1
"66",65,7,"Cuiaba","Internacional",1,1,2022-05-21,11,16,1,1
"67",62,7,"Flamengo","Goias",1,0,2022-05-21,12,15,3,0
"68",68,7,"Fortaleza","Fluminense",0,1,2022-05-22,14,13,0,3
"69",64,7,"Juventude","Palmeiras",0,3,2022-05-21,17,18,0,3
"70",63,7,"Santos","Ceara",0,0,2022-05-21,19,8,1,1
"71",78,8,"Atletico-MG","Avai",2,1,2022-05-29,4,5,3,0
"72",76,8,"Corinthians","America-MG",1,1,2022-05-29,9,1,1,1
"73",73,8,"Coritiba","Botafogo-RJ",1,0,2022-05-29,10,6,3,0
